time,temp,tmin,tmax,prcp,year,month,season,temp_rolling_avg
2015-01-01,27.0,21.1,33.2,0.0,2015,1,Sèche longue,25.173333333333336
2015-01-02,26.4,20.4,33.6,0.0,2015,1,Sèche longue,25.34375
2015-01-04,25.7,21.6,31.6,0.0,2015,1,Sèche longue,25.511764705882353
2015-01-05,24.3,18.5,30.8,0.0,2015,1,Sèche longue,25.666666666666668
2015-01-06,24.7,18.4,31.4,0.0,2015,1,Sèche longue,25.794736842105266
2015-01-07,25.3,19.8,31.2,0.0,2015,1,Sèche longue,25.910000000000004
2015-01-08,25.7,19.8,31.4,0.0,2015,1,Sèche longue,26.02857142857143
2015-01-09,25.4,20.0,31.3,0.0,2015,1,Sèche longue,26.136363636363637
2015-01-10,24.7,19.7,31.3,0.0,2015,1,Sèche longue,26.247826086956525
2015-01-11,24.0,19.5,30.5,0.0,2015,1,Sèche longue,26.349999999999998
2015-01-12,24.1,19.0,30.6,0.0,2015,1,Sèche longue,26.448
2015-01-13,23.6,17.2,30.6,0.0,2015,1,Sèche longue,26.534615384615385
2015-01-14,24.0,17.9,30.7,0.0,2015,1,Sèche longue,26.614814814814817
2015-01-16,25.6,21.8,30.1,0.0,2015,1,Sèche longue,26.685714285714287
2015-01-18,27.1,22.16470588235294,30.5,0.0,2015,1,Sèche longue,26.768965517241377
2015-01-19,27.9,22.529411764705884,31.0,0.0,2015,1,Sèche longue,26.853333333333335
2015-01-20,28.2,22.894117647058824,31.1,0.0,2015,1,Sèche longue,26.926666666666666
2015-01-21,28.3,23.258823529411764,31.0,0.0,2015,1,Sèche longue,27.023333333333333
2015-01-22,28.1,23.623529411764707,31.3,0.0,2015,1,Sèche longue,27.153333333333332
2015-01-23,28.1,23.988235294117647,31.1,0.0,2015,1,Sèche longue,27.32
2015-01-24,28.4,24.352941176470587,31.9,0.0,2015,1,Sèche longue,27.48
2015-01-25,28.4,24.71764705882353,31.5,0.0,2015,1,Sèche longue,27.616666666666667
2015-01-26,28.7,25.08235294117647,32.3,0.0,2015,1,Sèche longue,27.75
2015-01-28,28.7,25.447058823529414,31.8,0.0,2015,1,Sèche longue,27.846666666666668
2015-01-29,28.8,25.811764705882354,32.1,0.0,2015,1,Sèche longue,27.95
2015-01-30,28.7,26.176470588235293,32.1,0.0,2015,1,Sèche longue,28.133333333333333
2015-01-31,28.7,26.541176470588237,32.5,0.0,2015,1,Sèche longue,28.283333333333335
2015-02-01,28.6,26.905882352941177,32.0,0.0,2015,2,Sèche longue,28.470000000000002
2015-02-02,29.1,27.27058823529412,32.3,0.0,2015,2,Sèche longue,28.643333333333334
2015-02-03,29.3,27.63529411764706,33.0,0.0,2015,2,Sèche longue,28.716666666666665
2015-02-04,29.2,28.0,32.4,0.0,2015,2,Sèche longue,28.716666666666665
2015-02-05,29.3,27.5,32.4,0.0,2015,2,Sèche longue,28.740000000000002
2015-02-06,29.6,27.0,32.5,0.0,2015,2,Sèche longue,28.766666666666666
2015-02-07,29.3,26.5,32.7,0.0,2015,2,Sèche longue,28.776666666666664
2015-02-08,29.5,26.0,32.7,0.0,2015,2,Sèche longue,28.796666666666667
2015-02-09,29.4,25.5,32.8,0.0,2015,2,Sèche longue,28.83
2015-02-10,29.7,25.0,33.0,0.0,2015,2,Sèche longue,28.856666666666666
2015-02-11,28.3,24.5,33.4,0.0,2015,2,Sèche longue,28.85666666666667
2015-02-12,27.8,24.0,32.0,0.0,2015,2,Sèche longue,28.869999999999997
2015-02-13,29.5,24.15,32.6,0.0,2015,2,Sèche longue,28.883333333333333
2015-02-14,28.6,24.3,30.9,8.9,2015,2,Sèche longue,28.906666666666663
2015-02-16,29.2,24.45,32.6,0.0,2015,2,Sèche longue,28.923333333333336
2015-02-17,29.2,24.6,32.7,0.0,2015,2,Sèche longue,28.959999999999997
2015-02-18,27.8,24.75,32.8,0.0,2015,2,Sèche longue,29.0
2015-02-19,27.1,24.9,30.7,0.0,2015,2,Sèche longue,29.026666666666667
2015-02-20,28.6,25.05,31.8,0.0,2015,2,Sèche longue,29.033333333333335
2015-02-21,29.0,25.2,32.5,0.0,2015,2,Sèche longue,29.05
2015-02-23,28.6,25.35,31.5,0.0,2015,2,Sèche longue,29.07
2015-02-24,28.7,25.5,32.0,0.0,2015,2,Sèche longue,29.076666666666664
2015-02-25,29.1,27.0,32.0,0.0,2015,2,Sèche longue,29.043333333333333
2015-02-26,29.2,26.925,32.1,0.0,2015,2,Sèche longue,29.003333333333334
2015-02-27,28.4,26.85,30.7,0.0,2015,2,Sèche longue,29.013333333333332
2015-03-01,29.1,26.775,32.0,0.0,2015,3,Sèche longue,28.98
2015-03-02,29.1,26.7,32.5,0.0,2015,3,Sèche longue,29.03666666666667
2015-03-04,29.5,26.657142857142855,32.4,0.0,2015,3,Sèche longue,29.10333333333333
2015-03-05,29.2,26.614285714285714,32.6,0.0,2015,3,Sèche longue,29.089999999999996
2015-03-06,29.8,26.57142857142857,32.5,0.0,2015,3,Sèche longue,29.04666666666667
2015-03-07,29.8,26.52857142857143,32.8,0.0,2015,3,Sèche longue,29.063333333333333
2015-03-08,29.9,26.485714285714284,33.1,0.0,2015,3,Sèche longue,28.966666666666665
2015-03-09,29.5,26.442857142857143,33.5,0.0,2015,3,Sèche longue,28.946666666666665
2015-03-10,29.7,26.4,32.5,0.0,2015,3,Sèche longue,29.029999999999998
2015-03-11,29.9,25.9,32.9,0.0,2015,3,Sèche longue,29.063333333333333
2015-03-12,29.8,25.266666666666666,32.5,0.0,2015,3,Sèche longue,29.056666666666665
2015-03-13,28.3,24.633333333333333,32.4,0.0,2015,3,Sèche longue,29.09
